objectnummer;instelling.naam;objectnaam;titel;beschrijving;vervaardiging.datum.begin;vervaardiging.datum.eind;vervaardiger;vervaardiger.rol;vervaardiging.plaats
2009-100-001;Het Huis van Alijn (Gent);rammelaar (speelgoed);Blauw-roze rammelaar;"";"";"";"";"";""
2004-247-029;Het Huis van Alijn (Gent);glasnegatief;Sacramentsprocessie, Gent, ca. 1890-1893;Een acoliet (oudere misdienaar) met een processievaandel stapt vergezeld van jonge koorknapen of misdienaars over de Gentse Kouter tijdens de jaarlijkse Sacramentsprocessie. Links twee ordehandhavers die meelopen in de processie: een soldaat en een politieagent met pinhelm.;1890;1893;Vander Haeghen, Arnold;fotograaf;Gent
1994-040;Het Huis van Alijn (Gent);zeep;Huishoudzeep met premiebon Sparco;"";"";"";"";"";""
2007-150-448;Het Huis van Alijn (Gent);nummerplaat;Nummerplaat voor fiets Liège 1950;"";1950;"";"";"";""
2004-247-045;Het Huis van Alijn (Gent);glasnegatief;Carnavalsvierders op de Kouter in Gent, ca. 1890;Drie verklede en gemaskerde carnavalsvierders op de Kouter in Gent, waarschijnlijk gefotografeerd tijdens de carnavalsdagen in 1890. De mooie kostuums en attributen zoals de hoge hoed verraden de sociale status van de feestvierders. Op de achtergrond wandelen vele niet-verklede burgers op het plein en is ook de hoge tros ballonnen van een ballonventer te zien. De straat links achteraan is de Vogelmarkt.;1890;"";Vander Haeghen, Arnold;fotograaf;Gent
2004-247-130;Het Huis van Alijn (Gent);glasnegatief;Het poppentheater van John Holden op de Gentse foor, ca. 1890;Het poppentheater van John Holden op de foor op het Sint-Pietersplein te Gent. De dertig meter brede barak staat opgesteld tegenover de trappen die leiden naar de Sint-Amandstraat, op de achtergrond is de O.L.V. Sint-Pieterskerk in vooraanzicht te zien. Het theater werd verlicht met gas, in de ingang zijn enkele lusters zichtbaar. Deze beeldopname spreekt niet voor de populariteit van het gewoonlijk drukbezochte theater: op het moment dat de foto gemaakt werd had geen van de passanten of omstanders oog voor de kermisattractie. Wellicht gebeurt er iets links buiten beeld.;1890;"";Vander Haeghen, Arnold;fotograaf;Gent
1965-089-015;Het Huis van Alijn (Gent);stangpop;Kabouter Boum;Stangpop van kabouter Boum. Kop met oranjerode puntmuts en grijze baard. Groen jasje (nu gelig) en kniebroek met gele schort. Rondom de hals draagt de kabouter een halsketting van zwarte pailletten. De pop heeft zwarte laarzen. Poppenkastpop van het Spelleke van de Muide.;"";"";"";"";""
2004-247-048;Het Huis van Alijn (Gent);glasnegatief;Carnavalsvierders op de Kouter in Gent, ca. 1890;Twee verklede en gemaskerde carnavalsvierders kijken binnen door de ramen van een gebouw op de Kouter in Gent. Achter hen staan enkele burgerdames en kinderen.;1890;"";Vander Haeghen, Arnold;fotograaf;Gent
2007-158-001;Het Huis van Alijn (Gent);wafelijzer;Wafelijzer in geëmailleerd metaal;Wafelijzer in (rood, oranje en grijs) geëmailleerd gietijzer, met twee oogpennen en dubbel zijwaarts scharnier. Er is een bijhorend opzetstuk voor kachel (in hetzelfde kleurpallet) waarin het wafelijzer kan worden geplaatst en gekanteld.;"";"";onbekend;"";""
2004-247-080;Het Huis van Alijn (Gent);glasnegatief;Nar in historische stoet 'Gent door de eeuwen heen', 1894;Een nar van één van de vijf Gentse Kamers van Rhetorica (De Fonteinisten) staat op een paard in de historische stoet 'Gent door de eeuwen heen' op 29 juli 1894. Hij wordt geflankeerd door twee stoetbegeleiders. De foto is gemaakt op de Kouter, ter hoogte van zaal Concorde. Ch. Van Lokeren nam deze moeilijke acrobatenrol op zich.;1894-07-29;"";Vander Haeghen, Arnold;fotograaf;""
2003-375;Het Huis van Alijn (Gent);speculaasplank;Speculaasplank met dubbelzijdige versiering;Speculaasplank met dubbelzijdige versiering. Aan een zijde wordt een man met muts afgebeeld. Hij rookt een pijp en draagt een zakje in de linkerhand. Op de andere zijde staat een vrouw met bunselkind.;"";"";"";"";""
2004-247-071;Het Huis van Alijn (Gent);glasnegatief;Jacob Van Artevelde in historische stoet 'Gent door de eeuwen heen', 1894;Jacob Van Artevelde, uitgebeeld door een lid van de Katholieke Kring, rijdt te paard in de historische stoet 'Gent door de eeuwen heen' op 29 juli 1894. Hij wordt in de stoet gevolgd door zijn tijdgenoten Willem van Vaernewijck, Gelnoot van Lens, Pieter Van Hovene, Willem Van Huse, hertog van Brabant Jan III en graaf van Holland en Henegouwen Willem II, waarvan er enkelen op de foto te zien zijn. De opname is gemaakt op de Kouter, ter hoogte van zaal Concorde.;1894-07-29;"";Vander Haeghen, Arnold;fotograaf;Gent
2005-021;Het Huis van Alijn (Gent);pennenbak$potlood;Rechthoekige pennenbak;Rechthoekige pennenbak van hout. Op de bovenzijde van de pennendoos staat: Plummier. De doos bestaat uit twee niveaus. Het onderste gedeelte kan men openen met behulp van een sleuteltje. Aan de linkerzijde bevindt zich een glazen potje, waar zand in werd gedaan. De inhoud van de doos bestaat uit een set van zes objecten met blauwkleurig heft (twee potloden met gom), twee pennen, één vulpotlood en één mesje. Daarnaast zijn er nog twee potloden met gekleurd lichaam en geslepen punt.;"";"";"";"";""
2004-247-026;Het Huis van Alijn (Gent);glasnegatief;Waterstoet, Gent, 1903;Een met bloemen en planten versierd vlot wordt verdergetrokken door een andere boot op de Leie in het centrum van Gent tijdens de waterstoet van 1903. Vooraan op het vlot is een zwaan gevormd, achteraan zit een vrouwenfiguur op een troon onder een zon met stralen waarop telkens een letter is bevestigd. De letters vormen een bedrijfsnaam: Miroiterie des Flandres. De vrouwenfiguur houdt enkele teugellinten vast die vertrekken vanaf de bek van de zwaan. Een massa toeschouwers kijkt toe vanaf de Ajuinlei.;1903;"";Vander Haeghen, Arnold;fotograaf;Gent
2004-247-076;Het Huis van Alijn (Gent);glasnegatief;Maria van Bourgondië in historische stoet 'Gent door de eeuwen heen', 1894;Uitbeelding van het Groot Privilegie van Maria van Bourgondië door figuranten van de Gebuurte der Lange Violettenstraat in de historische stoet 'Gent door de eeuwen heen' in juli 1894. De Bourgondische vorstin rijdt te paard onder een draaghemel. Zij wordt voorafgegaan en begeleid door Bourgondische schildknapen en dienaren en gevolgd door de afgevaardigden van de Nederlandse gewesten bij de Algemene Staten. De foto is waarschijnlijk gemaakt op de Kortrijksesteenweg.;1894-07;"";Vander Haeghen, Arnold;fotograaf;""
2004-247-085;Het Huis van Alijn (Gent);glasnegatief;Praalwagen zeevaartinrichtingen in historische stoet 'Gent door de eeuwen heen', 1894;De praalwagen van de zeevaartinrichtingen met gekostumeerde figuranten van de Stukwerkersnatie in de historische stoet 'Gent door de eeuwen heen' op 29 juli 1894. Links buiten beeld gebeurt iets dat duidelijk de interesse wekt van de afgebeelde personen.;1894-07-29;"";Vander Haeghen, Arnold;fotograaf;""
1979-329-345;Het Huis van Alijn (Gent);bidsnoer;Paternoster in etui;"";"";"";"";"";""
2004-247-111;Het Huis van Alijn (Gent);glasnegatief;Stakende arbeiders tijdens socialistische meeting op het Sint-Pietersplein, Gent, 1893;Een menigte van stakende arbeiders zijn samengekomen op het Sint-Pietersplein in Gent tijdens de algemene staking van april 1893. Socialist Edward Anseele spreekt de massa toe. In het tweede huis links is een café en winkel van klompen en schoeisel 'A la Concorde' gevestigd.;1893;"";Vander Haeghen, Arnold;fotograaf;Gent
1987-143-001;Het Huis van Alijn (Gent);kandelaar;Kandelaar van verzilverd glas;Kandelaars werden vaak aan een bruidspaar gegeven. Deze kandelaars van verzilverd glas werden arme-mensen-zilver genoemd. Ze zagen er kostbaar uit, maar waren niet gemaakt uit echt zilver. Ze werden gegeven als huwelijksgeschenk.;"";"";"";"";""
2004-247-102;Het Huis van Alijn (Gent);glasnegatief;Stakende arbeiders op wagen op het Sint-Pietersplein, Gent, 1893;Stakende arbeiders zijn samengekomen op het Sint-Pietersplein in Gent tijdens de algemene staking van april 1893. Rechts buiten het beeld houden socialistische kopstukken een toespraak. Een aantal mensen heeft plaatsgenomen op een houten wagen om de sprekers beter te kunnen zien. De kleine jongen vooraan kijkt geïnteresseerd naar wat er op de wagen gebeurt.;1893;"";Vander Haeghen, Arnold;fotograaf;Gent
2004-247-088;Het Huis van Alijn (Gent);glasnegatief;Twee leden van de Sint-Michielsgilde in historische stoet 'Gent door de eeuwen heen', 1894;Twee leden van de Sint-Michielsgilde, verkleed als hun zeventiende-eeuwse voorgangers, kijken hun rapier na voor of na de rondgang van de historische stoet 'Gent door de eeuwen heen' in juli 1894. De man rechts is toch als negentiende-eeuwer te herkennen aan enkele eigentijdse details: zijn monocle en zijn sigaret. Op de achtergrond is vaag de praalwagen van de Sint-Michielsgilde te zien. De figuren worden vertolkt door Alfred Pauli (links) en Jules Norbert Leirens, toen deken van de gilde. Deze laatste vervulde de rol van Albrecht.;1894;"";Vander Haeghen, Arnold;fotograaf;Gent
2003-002-097;Het Huis van Alijn (Gent);pop;Pop voor clownsnummer van Polly Bentos;Babypop met hoofd van papier-maché. Gehaakt mutsje en kleedje met het woord BABY opgenaaid. De armen en de handen zijn vervaardigd van textiel. Het lichaam bestaat uit een ijzeren steunvorm met daarrond textiel en kunststof gewikkeld. Circusattribuut van Polly Bentos (Polydoor De Baets).;1946;"";"";"";Antwerpen
2007-119-164;Het Huis van Alijn (Gent);fruitschaal;Fruitmand;"";"";"";"";"";""
2004-247-117;Het Huis van Alijn (Gent);glasnegatief;Theater Van Caeneghem op de foor op het Sint-Pietersplein in Gent, ca. 1890;"De theaterbarak van Lodewijk Van Caeneghem op de foor op het Gentse Sint-Pietersplein, omstreeks 1890. Goochelaar Van Caeneghem, te herkennen aan zijn zwarte mantel en buishoed, roept het publiek op om naar zijn show te komen kijken. Links zitten de muzikanten klaar met hun instrumenten achter een schuine plank, waarop hun partituren liggen. Rechts staan de clowns en acrobaten klaar om een voorproefje van het showprogramma te geven. Boven de ingang van de vijftien meter brede barak is te lezen: ""[sou]s la direction de [L.] vancaeneghem"".";1890;1895;Vander Haeghen, Arnold;fotograaf;Gent
1965-089-010;Het Huis van Alijn (Gent);stangpop;Lijjfwacht van Blauwbaard;Stangpop van de lijfwacht van Blauwbaard. De lijfwacht draagt een helm en borstharnas in gouden kleur. Armen en kniebroek in rood-oranje stof. Epaulettes in gouddraad. De onderarmbeschermers hebben net als de hoge kaplaarzen een gouden kleur. Poppenkastpop uit Blauwbaard van het Spelleke van de Muide.;1922;1950;"";"";""
2004-247-147;Het Huis van Alijn (Gent);glasnegatief;Een jong gezin op de Kantienberg tijdens de Gentse foor, ca. 1890-1895;Een jong gezin wandelt op de Kantienberg in Gent, waarschijnlijk voor of na een bezoek aan de foor. Vader met hoed en paraplu, moeder met haarstuk en tas, de twee kinderen met een muts, gestreepte kousen en knooplaarsjes. Achter hen loopt een ballonventer met een tros glimmende ballonnen. Verderop in de straat is een bakfiets te zien. Naast de kazerne op de achtergrond staat de fotobarak van J. Tissens.;1890;1895;Vander Haeghen, Arnold;fotograaf;Gent
2004-247-338;Het Huis van Alijn (Gent);glasnegatief;Man in gestreept badpak, Blankenberge;"";"";"";Vander Haeghen, Arnold;fotograaf;Gent
2004-247-135;Het Huis van Alijn (Gent);glasnegatief;Een gewichtheffer op de Gentse foor, ca. 1890-1900;Een gewichtheffer staat gebogen in een spectaculair krachtnummer op het kleine tapijtje dat zijn straatpodium vormt. Vele nieuwsgierige kermisgangers hebben zich hier op een hoek van het Gentse Sint-Pietersplein rond de artiest verzameld om zijn openluchtshow te zien.;1890;1900;Vander Haeghen, Arnold;fotograaf;Gent
2004-247-134;Het Huis van Alijn (Gent);glasnegatief;Een gewichtheffer op de Gentse foor, ca. 1890-1900;Een gewichtheffer houdt zijn halterstang met één arm hoog boven zijn hoofd tijdens zijn openluchtshow op de foor op het Sint-Pietersplein in Gent. Een massa toeschouwers heeft zich in een cirkel rond de krachtpatser verzameld.;1890;1900;Vander Haeghen, Arnold;fotograaf;Gent
2004-247-142;Het Huis van Alijn (Gent);glasnegatief;Een verkoopster op de Gentse foor, ca. 1891;"Een verkoopster van kraakamandels en paardenlever op een hoek van het Sint-Pietersplein in Gent tijdens de foor. Op de achtergrond lopen enkele mensen langs de kermistheaters. De barak rechts is wellicht het Théâtre de la famille Libot, het variététheater van de familie Libot. Links staat het Théâtre Fin de Siècle van A. Lagneau. De barak van dit illusietheater was 14 meter breed. Opschriften bovenaan op de voorgevel: Naïades Merveilleuses; Théâtre Fin de Siècle; [Pl]anètes Animées. Op het programma stonden de volgende optredens: Le lever de la lune, par Mlle Aîda; Les planètes animées par Mlles Vénus et Junion; Les femmes volantes; Apotheose: Les naïades au milieu des fontaines lumineuses (10000 liter water in diverse kleuren) en pluies de feu.";1891;"";Vander Haeghen, Arnold;fotograaf;Gent
2004-247-105;Het Huis van Alijn (Gent);glasnegatief;Stakende arbeidersvrouwen op het Sint-Pietersplein, Gent, 1893;Stakende arbeiders en arbeidersvrouwen zijn samengekomen in een massameeting op het Sint-Pietersplein in Gent tijdens de algemene staking van april 1893. Enkele vrouwen hebben hun kinderen meegebracht. Eén van de stakers draagt een rode vlag. Vanop een houten tentgeraamte in het midden van het plein spreekt een socialistisch kopstuk de menigte toe. De man en de vrouw helemaal rechts zijn waarschijnlijk venters.;1893;"";Vander Haeghen, Arnold;fotograaf;Gent
2004-253;Het Huis van Alijn (Gent);inktpot;Glazen inktpot met stop van kurk;Glazen inktpot met stop van kurk. Tekst op het rode etiket: Renard - red rood rouge 2361.;"";"";"";"";""
1974-288-001;Het Huis van Alijn (Gent);poederdoos;Colgate's baby talc;"Talkpoederdoos van blik. De doos heeft een rechthoekige vorm met afgeronde hoeken. Centraal is een medaillon aangebracht waarbinnen de afbeelding van een kind met pop is uitgewerkt. Het medaillon heeft een blauwe achtergrond en een gele boord. Het deksel van de doos is naar boven toe bolrond en is voorzien van een goudkleurige dop waar het talkpoeder mee kan worden gestrooid. Opschrift: ""Colgate's baby talc"".";"";"";"";"";""
2004-247-131;Het Huis van Alijn (Gent);glasnegatief;Het poppentheater van John Holden op de Gentse foor, ca. 1890;Het poppentheater van John Holden op de foor op het Sint-Pietersplein te Gent. De mooi versierde foorbarak meet 30 op 10 meter en staat tegenover de trappen die leiden naar de Sint-Amandstraat. Boven op de façade zijn een Engelse en een Belgische vlag te zien, op het rechtse deel van de barak staat ook een Amerikaanse vlag. Een grote groep foorgangers staat voor de barak te wachten op de volgende voorstelling. Het programmabord rechts van de ingang kondigt de voorstelling Barbe-Bleu aan. Helemaal links is een Pit Entrance te zien, net zoals aan de rechterkant. Deze toegangspoortjes leiden naar de parterre.;1890;"";Vander Haeghen, Arnold;fotograaf;Gent
2007-166-075;Het Huis van Alijn (Gent);postkaart;1er Avril;"";"";"";"";"";""
1965-089-059;Het Huis van Alijn (Gent);stangpop;Anna;Stangpop van Anna. De pop draagt een lang blauw-groenig kleed met een goudkleurig metaalboordlint. De pop heeft een lange sleep, lange mouwen. De jurk is gedeeltelijk met een stuk witte stof aan de buitenzijde versierd. Poppenkastpop uit Blauwbaard van het Spelleke van de Muide.;1922;1950;"";"";""
2006-089;Het Huis van Alijn (Gent);broodrooster;Broodrooster Wizard;De elektrische broodrooster heeft een horizontaal vlak bovenaan waarop een broodje kan worden gelegd.;1930;1945;H. Polliack & Co.;fabrikant;Zuid-Afrika
2003-002-008;Het Huis van Alijn (Gent);masker$kop (figuurvoorstellingen);Paradekop van Circus Minnaert;Reuzenhoofd van een man met kraag en strik, geprofileerde wenkbrauwen en brede glimlach. Grote neus, aan rechterzijde geflankeerd door wrat. Aan de achterzijde van het hoofd werd het haar uitgewerkt. Opengewerkte ogen, mond en oren. Hoofd uit het circus Minnaert, gebruikt om de mensen naar de show te lokken. Waarschijnlijk gedragen door kinderen.;1935;"";"";"";""
1965-089-047;Het Huis van Alijn (Gent);stangpop;Soldaat;Stangpop van soldaat, hij draagt een helm met vizier en kam. De pop draagt voorarmbeschermers en kaplaarzen. Het uniform is rood. Aan de schouders hangen goudkleurige franjes. Poppenkastpop van het Spelleke van de Muide.;1922;1950;"";"";""
2009-086-068;Het Huis van Alijn (Gent);strijkijzer;Stoomstrijkijzer Tokyo EC-1200;Rood stoomstrijkijzer met regelbare thermostaat en verwijderbaar waterreservoir.;1980;2000;"";"";""
2004-247-280;Het Huis van Alijn (Gent);glasnegatief;Fietser op de zeedijk;"";"";"";Vander Haeghen, Arnold;fotograaf;""
2007-158-017;Het Huis van Alijn (Gent);kurkenklopper;Kurkenklopper;Een flessenkurker of kurkenklopper wordt gebruikt om flessen te kurken. Het is een houten holle cilinder met een staaf erin waarop geklopt wordt. De kurk wordt langs boven in de flessenkurker gestopt en loopt naar beneden toe smaller. Door een krachtige slag op de kop van de flessenkurker wordt de kurk in de fles geslagen. De kurk wordt gekookt zodat hij makkelijker door de flessenkurker en in de hals van de fles kan.;"";"";"";"";""
1974-182;Het Huis van Alijn (Gent);zoutbak;Bewaardoos voor zout;Bewaardoos van geëmailleerd ijzer voor één tot twee kilo zout. De zoutbak kan worden opgehangen aan een muurhaak.;"";"";"";"";""
2007-117-030;Het Huis van Alijn (Gent);doos;Blikken doosje met afbeelding van rokende dame;"";"";"";"";"";""
1975-081-001;Het Huis van Alijn (Gent);vorm;Houten vormendoos;"";"";"";"";"";""
2004-247-347;Het Huis van Alijn (Gent);glasnegatief;Mannen en ezels op het strand, Oostende;Een man ligt te slapen op een golfbreker op het strand van Oostende. Vlak bij hem staan enkele ezeltjes die voor tochtjes worden verhuurd.;"";"";Vander Haeghen, Arnold;fotograaf;Gent
2004-247-348;Het Huis van Alijn (Gent);glasnegatief;Stoet op de dijk van Blankenberge;"";"";"";Vander Haeghen, Arnold;fotograaf;Gent
2000-122;Het Huis van Alijn (Gent);koffiemolen;Manuele koffiemolen;"";"";"";"";"";""
1965-089-069;Het Huis van Alijn (Gent);stangpop;Adjunct-agent Constant;Stangpop van Constant. Hij draagt een witte, lange broek en jas met zes knopen in stof. Op elke mouw staat een rode streep. Poppenkastpop van het Spelleke van de Muide.;"";"";"";"";""
2004-247-414;Het Huis van Alijn (Gent);glasnegatief;Landbouwstoet, Brussel, 1893;De landbouwstoet of Cortège de l'Agriculture van 1893 op het Koningsplein in Brussel.;1893;"";Vander Haeghen, Arnold;fotograaf;Gent
2004-247-387;Het Huis van Alijn (Gent);glasnegatief;Landbouwstoet, Brussel, 1893;De landbouwstoet of Cortège de l'Agriculture van 1893 op het Koningsplein in Brussel.;1893;"";Vander Haeghen, Arnold;fotograaf;Gent
2003-002-099;Het Huis van Alijn (Gent);klokkenspel (metallofonen);Buizenklokkenspel van clown Toni;Houten koffer met buizenklokkenspel of metallofoon met twaalf metalen buizen uit het circus Varieté van Pierre Minnaert en Fréderic Demeyer. Gebruikt door Pierre Minnaert als witte clown Toni tijdens een muzikale clownsentree. De buizen zijn opgehangen aan een touw en van elkaar gescheiden door schijfjes van kurk. Het geheel is bevestigd aan een houten staaf met daaronder een smalle strobundel die omwonden is met touw.;1905;"";"";"";""
2004-247-413;Het Huis van Alijn (Gent);glasnegatief;Landbouwstoet, Brussel, 1893;De landbouwstoet of Cortège de l'Agriculture van 1893 op het Koningsplein in Brussel.;1893;"";Vander Haeghen, Arnold;fotograaf;Gent
1965-089-063;Het Huis van Alijn (Gent);stangpop;Louis Harlekijn;Stangpop van Louis Harlekijn, de vriend van Pierke. Kop met zwarte krulsnor in reliëf en Napoleonshoed. De jas en de broek zijn vervaardigd van veelkleurige, over elkaar liggende lapjes stof. De benen en de voeten hebben een blauwe kleur. Poppenkastpop van het Spelleke van de Muide.;1922;1950;"";"";""
2007-119-107;Het Huis van Alijn (Gent);productverpakking;Koekjesdoos Picklu;"";"";"";"";"";""
1976-042-001;Het Huis van Alijn (Gent);foto;Lijkkoets derde klasse;Foto van een lijkkoets voor volwassenen behorend tot de derde klasse in de samenleving. De lijkkoets wordt getrokken door twee paarden. Op de foto zien we de koetsier en de twee zogenaamde lijkbidders, naast de lijkkoets.;"";"";Sacré, Edmond;fotograaf;Gent
1965-089-004;Het Huis van Alijn (Gent);stangpop;Boze geest;Stangpop van de boze geest. Pop met langwerpige, wit geschilderde kop, witte kap en grauw kleed met lange mouwen. Poppenkastpop van het Spelleke van de Muide.;1922;1950;"";"";""
1965-089-048;Het Huis van Alijn (Gent);stangpop;Apotheker Caudenberg;Stangpop van apotheker Caudenberg. De pop heeft een gele tulband met een blauw deksel en een gele uniformjas, die is afgeboord aan de polsen met blauwe manchetten. Over de borst bevinden zich vier blauwe repen stof waarop middenin telkens een zilveren sterretje staat afgebeeld. De pop draagt verder een blauwe kniebroek (verkleurd), witte kousen en blauwe schoenen. De schoenen zijn heel mooi afgewerkt: zij zijn van stof vervaardigd en hebben een zooltje van leer, waarin kleine nageltjes zijn geklopt. Achteraan de schouders ontspingt een lange mantel met brede boord en gele, hoge epauletten. Poppenkastpop uit Ridder van Laarne van Het Spelleke van de Muide.;1922;1950;"";"";""
1965-089-013;Het Huis van Alijn (Gent);stangpop;Prinses Christina;Stangpop van Prinses Christina. De pop heeft een paillettendiadeem in het haar. Het lange sleepkleed in rood fluweel (nu geel) heeft vooraan een voorstuk in geel fluweel (nu wit). Er werd versiering met pailletten in de vorm van een gestileerde bloemenvaas aangebracht. Ook de mouwen en de zijpanden werden met parels versierd. Onder dit kleed met geplisseerd kraagje bevindt zich een onderkleed (oorspronkelijk rood met geel). De schoenen zijn met stof bekleed (oorspronkelijk rood). Poppenkastpop van het Spelleke van de Muide.;1922;1950;"";"";""
1965-089-053;Het Huis van Alijn (Gent);stangpop;Rover of geus;Stangpop van een rover of geus. Op het hoofd met zware snor staat een bruine pet met klep van leer. De pop heeft een donkerblauwe jas met een zwarte, getande kraag. Boven de gele schort en broek zit een zwarte gordel. De laarzen zijn van leer. Poppenkastpop van het Spelleke van de Muide.;1922;1950;"";"";""
1965-089-009;Het Huis van Alijn (Gent);stangpop;Lijfwacht van Blauwbaard;Stangpop van een lijfwacht met snor. De pop draagt een helm en een borstharnas in een gouden kleur. De armen en de kniebroek zijn rood-oranje. De epauletten zijn van gouddraad. De onderarmbeschermers en de laarzen zijn in een gouden kleur vervaardigd. Poppenkastpop uit Reis naar de maan van het Spelleke van de Muide.;1922;1950;"";"";""
1968-035-001;Het Huis van Alijn (Gent);bruidsboeket$stolp;Huwelijksboeket onder stolp, 1901;Huwelijksboeket onder stolp. Op een wit lint staan in gouden letters de tekst: Désiré et Isabelle. Unis le 10 Aôut 1901. De tros witte huwelijksbloemen zijn met was bewerkt en vastgebonden met behulp van een stukje kant op een kussentje met zijde. Het kussentje is afgeboord met getorseerde gouddraad. Aan weerszijden hangt een franje in verguld metaal. Alles staat op een koordvormig, geplooid, verguld statief. Het huwelijksboeket rust verder op een houten, afzonderlijke ronde voet op drie gedraaide poten (zwart geschilderd voetstuk met bovenaan rode fluwelen bekleding). Het geheel wordt beschermd door een glazen stolp.;1901;"";"";"";""
2004-247-093;Het Huis van Alijn (Gent);glasnegatief;Praalwagen Sint-Michielsgilde in historische stoet 'Gent door de eeuwen heen', 1894;De praalwagen van de Sint-Michielsgilde in de historische stoet 'Gent door de eeuwen heen' op 22 juli 1894. De fraai versierde wagen wordt bevolkt door figuranten van deze in 1613 opgerichte schermgilde. Vooraan op de wagen staat een beeld van hun patroonheilige, aartsengel Michaël, die de draak overwon. De foto is genomen op de Kortrijksesteenweg in Gent.;1894;"";Vander Haeghen, Arnold;fotograaf;""
1983-121;Het Huis van Alijn (Gent);hoedendoos;Reiskoffer in de vorm van een hoedendoos;Op de hoedendoos zijn papieren reclamestickers van hotels gekleefd uit Hamburg, Koblenz, Tübingen, Merano, Leipzig, München, Magdeburg, Nürnberg, Halle am Saale, Dresden en Würtemberg. De binnenzijde van de doos is met een purperen stof bekleed en voorzien van vier linten (om de hoed vast te strikken) en een zakje om kleine reisaccessoires op te bergen.;"";"";"";"";""
2004-247-136;Het Huis van Alijn (Gent);glasnegatief;Een gewichtheffer op de Gentse foor, ca. 1890-1900;Een gewichtheffer in actie tijdens zijn openluchtshow op de foor op het Sint-Pietersplein in Gent. Voor de ogen van vele rijen toeschouwers steekt hij zijn halters met één arm in de lucht. Naast de krachtpatser liggen nog meer gewichten.;1890;1900;Vander Haeghen, Arnold;fotograaf;Gent
